"wt","d2_n2a","l1","sector_MS","n2a_d2","n2a","d2","exrate_d2","d2_orig","n2a_orig","prod"
5.00762524607814,10.8363934202444,14,"Manufacturing",0.0922816255574311,14651000,158764000,372.500882448711,158764000,14651000,0.462111797890522
1,6.66666666666667,25,"Manufacturing",0.15,1.5e+07,1e+08,372.500882448711,1e+08,1.5e+07,0.15
4.62925643315859,4.66666666666667,30,"Manufacturing",0.214285714285714,1.5e+07,7e+07,372.500882448711,7e+07,1.5e+07,0.991983521391127
2.20241080080288,45.714286,500,"Manufacturing",0.0218749998632813,3.5e+08,16000000100,372.500882448711,1.6e+10,3.5e+08,0.0481777359664521
5.70231645668633,3.94781185306437,60,"Manufacturing",0.253304878048781,41542000,1.64e+08,372.500882448711,1.64e+08,41542000,1.44442457465648
5.70231645668633,11.6666666666667,70,"Manufacturing",0.0857142857142857,1.2e+07,1.4e+08,372.500882448711,1.4e+08,1.2e+07,0.488769982001685
9.91284173555938,2.12118085714286,6,"Manufacturing",0.471435519810865,3500000,7424133,372.500882448711,7424133,3500000,4.67326569640628
1,12.2904265402844,NA,"Manufacturing",0.0813641411648569,5275000,64832000,372.500882448711,64832000,5275000,0.0813641411648569
1,7.14285714285714,19,"Manufacturing",0.14,8400000,6e+07,372.500882448711,6e+07,8400000,0.14
1,11.6363637272727,90,"Manufacturing",0.0859374993286133,1.1e+08,1280000010,372.500882448711,1.28e+09,1.1e+08,0.0859374993286133
21.9494500147812,8.94723360655738,150,"Manufacturing",0.111766389922703,80032000,716065000,372.500882448711,716065024,80032000,2.45321078894091
5.70231645668633,24,32,"Manufacturing",0.0416666666666667,2.5e+07,6e+08,372.500882448711,6e+08,2.5e+07,0.237596519028597
5.70231645668633,27.2108843537415,55,"Manufacturing",0.03675,29400000,8e+08,372.500882448711,8e+08,29400000,0.209560129783223
2.46003292655804,2.85714285714286,20,"Manufacturing",0.35,3.5e+07,1e+08,372.500882448711,1e+08,3.5e+07,0.861011524295315
5.70231645668633,3.98671099667774,160,"Manufacturing",0.250833331243056,3.01e+08,1200000010,372.500882448711,1.2e+09,3.01e+08,1.43033103263273
5.70231645668633,2.18760330578512,9,"Manufacturing",0.457121269361541,1210000,2647000,372.500882448711,2647000,1210000,2.60665013698166
1,3,15,"Manufacturing",0.333333333333333,2e+06,6e+06,372.500882448711,6e+06,2e+06,0.333333333333333
2.77166966265717,8.42105263157895,134,"Manufacturing",0.11875,9.5e+07,8e+08,372.500882448711,8e+08,9.5e+07,0.329135772440539
1,6,6,"Manufacturing",0.166666666666667,2500000,1.5e+07,372.500882448711,1.5e+07,2500000,0.166666666666667
1.20532693313032,3.54155199662372,30,"Manufacturing",0.282362083333333,13553380,4.8e+07,372.500882448711,4.8e+07,13553380,0.340338623936456
5.70231645668633,46.6666666666667,25,"Manufacturing",0.0214285714285714,3e+06,1.4e+08,372.500882448711,1.4e+08,3e+06,0.122192495500421
4.62925643315859,6.00000005,115,"Manufacturing",0.166666665277778,2e+08,1200000010,372.500882448711,1.2e+09,2e+08,0.771542732430243
5.70231645668633,29,20,"Manufacturing",0.0344827586206897,2e+06,5.8e+07,372.500882448711,5.8e+07,2e+06,0.196631601954701
5.70231645668633,6.375,14,"Manufacturing",0.156862745098039,8e+06,5.1e+07,372.500882448711,5.1e+07,8e+06,0.894481012813542
5.00762524607814,60,5,"Manufacturing",0.0166666666666667,5e+05,3e+07,372.500882448711,3e+07,5e+05,0.083460420767969
5.00762524607814,80,10,"Manufacturing",0.0125,1e+06,8e+07,372.500882448711,8e+07,1e+06,0.0625953155759767
5.00762524607814,25.0309278350515,5,"Manufacturing",0.0399505766062603,970000,24280000,372.500882448711,24280000,970000,0.200057516008888
6.43579552902536,5,6,"Manufacturing",0.2,3e+06,1.5e+07,372.500882448711,1.5e+07,3e+06,1.28715910580507
5.00762524607814,7.14285714285714,70,"Manufacturing",0.14,7e+07,5e+08,372.500882448711,5e+08,7e+07,0.701067534450939
5.00762524607814,5.55555555555556,7,"Manufacturing",0.18,3600000,2e+07,372.500882448711,2e+07,3600000,0.901372544294065
5.00762524607814,19.4444444444444,6,"Manufacturing",0.0514285714285714,3600000,7e+07,372.500882448711,7e+07,3600000,0.257535012655447
1.307429083279,4.83091787439614,5,"Manufacturing",0.207,4140000,2e+07,372.500882448711,2e+07,4140000,0.270637820238752
5.00762524607814,2.50598017997494,10,"Manufacturing",0.399045454545455,8779000,2.2e+07,372.500882448711,2.2e+07,8779000,1.99827009251454
5.00762524607814,80,5,"Manufacturing",0.0125,5e+05,4e+07,372.500882448711,4e+07,5e+05,0.0625953155759767
5.00762524607814,6.15384615384615,10,"Manufacturing",0.1625,1.3e+07,8e+07,372.500882448711,8e+07,1.3e+07,0.813739102487698
5.00762524607814,120,6,"Manufacturing",0.00833333333333333,5e+05,6e+07,372.500882448711,6e+07,5e+05,0.0417302103839845
5.70231645668633,6,60,"Manufacturing",0.166666666666667,1e+08,6e+08,372.500882448711,6e+08,1e+08,0.950386076114388
4.62925643315859,3.25,40,"Manufacturing",0.307692307692308,2e+07,6.5e+07,372.500882448711,6.5e+07,2e+07,1.42438659481803
5.70231645668633,4,12,"Manufacturing",0.25,2e+07,8e+07,372.500882448711,8e+07,2e+07,1.42557911417158
1.20532693313032,5.51724137931035,210,"Manufacturing",0.18125,1.45e+08,8e+08,372.500882448711,8e+08,1.45e+08,0.218465506629871
2.77166966265717,4,20,"Manufacturing",0.25,1.5e+07,6e+07,372.500882448711,6e+07,1.5e+07,0.692917415664292
1.91335894287848,8,12,"Manufacturing",0.125,1e+07,8e+07,372.500882448711,8e+07,1e+07,0.23916986785981
1.20532693313032,5.75529985418562,115,"Manufacturing",0.17375289304392,80239000,461799505,372.500882448711,461799520,80239000,0.209429041695149
8.22273841998279,60,21,"Manufacturing",0.0166666666666667,2e+06,1.2e+08,372.500882448711,1.2e+08,2e+06,0.137045640333047
1,20,60,"Manufacturing",0.05,1.1e+07,2.2e+08,372.500882448711,2.2e+08,1.1e+07,0.05
6.43579552902536,6.7,70,"Manufacturing",0.149253731343284,1e+08,6.7e+08,372.500882448711,6.7e+08,1e+08,0.960566496869457
4.62925643315859,2.36363636363636,25,"Manufacturing",0.423076923076923,2.2e+07,5.2e+07,372.500882448711,5.2e+07,2.2e+07,1.95853156787479
5.00762524607814,8.33333333333333,10,"Manufacturing",0.12,6e+06,5e+07,372.500882448711,5e+07,6e+06,0.600915029529377
4.62925643315859,3.65853658536585,35,"Manufacturing",0.273333333333333,32800000,1.2e+08,372.500882448711,1.2e+08,32800000,1.26533009173002
5.70231645668633,5.38647993536224,90,"Manufacturing",0.18565,92825000,5e+08,372.500882448711,5e+08,92825000,1.05863505018382
9.88218355113061,2.27010310309278,505,"Manufacturing",0.440508626519034,9.7e+08,2202000010,372.500882448711,2202000128,9.7e+08,4.35318710311754
5.70231645668633,2.4,70,"Manufacturing",0.416666666666667,5e+07,1.2e+08,372.500882448711,1.2e+08,5e+07,2.37596519028597
4.62925643315859,7.5,5,"Manufacturing",0.133333333333333,4e+06,3e+07,372.500882448711,3e+07,4e+06,0.617234191087813
1.20532693313032,166.666667,170,"Manufacturing",0.005999999988,3e+07,5000000010,372.500882448711,5e+09,3e+07,0.00723196158431802
